down,yardline,yards_to_go,count,fantasy_points,avg_fantasy_points
1,crap,long,43,10.56,0.24558139534883722
1,crap,really_long,4,1.6400000000000001,0.41000000000000003
1,fg,long,31,25.240000000000002,0.8141935483870968
1,fg,really_long,2,0.0,0.0
1,goaline,long,8,9.080000000000002,1.1350000000000002
1,goaline,medium,6,4.32,0.7200000000000001
1,goaline,short,8,10.120000000000001,1.2650000000000001
1,midfield,long,195,61.40000000000001,0.31487179487179495
1,midfield,medium,4,0.6,0.15
1,midfield,really_long,9,2.08,0.23111111111111113
1,redzone,long,16,10.360000000000001,0.6475000000000001
1,touchback,long,85,14.599999999999998,0.1717647058823529
1,touchback,really_long,4,2.4000000000000004,0.6000000000000001
2,crap,long,14,-0.48,-0.03428571428571429
2,crap,medium,3,0.64,0.21333333333333335
2,crap,really_long,12,2.76,0.22999999999999998
2,crap,short,2,0.32,0.16
2,fg,long,15,8.84,0.5893333333333334
2,fg,medium,5,6.16,1.232
2,fg,really_long,5,1.0,0.2
2,fg,short,2,5.4,2.7
2,goaline,long,4,8.64,2.16
2,goaline,medium,11,21.6,1.9636363636363638
2,goaline,short,8,20.240000000000002,2.5300000000000002
2,midfield,long,85,31.719999999999995,0.3731764705882352
2,midfield,medium,29,6.4,0.22068965517241382
2,midfield,really_long,45,16.08,0.3573333333333333
2,midfield,short,30,3.119999999999999,0.10399999999999997
2,redzone,long,13,10.32,0.7938461538461539
2,redzone,medium,12,7.08,0.59
2,redzone,really_long,9,6.040000000000001,0.6711111111111112
2,redzone,short,2,4.8,2.4
2,touchback,long,36,8.760000000000002,0.24333333333333337
2,touchback,medium,13,7.200000000000001,0.5538461538461539
2,touchback,really_long,12,4.32,0.36000000000000004
2,touchback,short,3,0.08000000000000002,0.026666666666666672
3,crap,long,9,2.64,0.29333333333333333
3,crap,medium,1,0.68,0.68
3,crap,really_long,8,-0.24,-0.03
3,crap,short,2,0.28,0.14
3,fg,long,9,1.68,0.18666666666666665
3,fg,medium,7,-0.76,-0.10857142857142857
3,fg,really_long,6,2.4,0.39999999999999997
3,fg,short,5,1.7599999999999998,0.352
3,goaline,long,2,0.0,0.0
3,goaline,medium,9,21.12,2.3466666666666667
3,goaline,short,8,4.2,0.525
3,midfield,long,35,7.280000000000001,0.20800000000000005
3,midfield,medium,43,9.28,0.21581395348837207
3,midfield,really_long,36,8.799999999999999,0.2444444444444444
3,midfield,short,29,6.6000000000000005,0.22758620689655173
3,redzone,long,8,0.32,0.04
3,redzone,medium,5,0.04,0.008
3,redzone,really_long,8,1.08,0.135
3,redzone,short,4,0.52,0.13
3,touchback,long,26,5.68,0.21846153846153846
3,touchback,medium,14,2.4000000000000004,0.17142857142857146
3,touchback,really_long,10,2.64,0.264
3,touchback,short,8,3.16,0.395
4,crap,really_long,1,-2.0,-2.0
4,fg,long,2,0.0,0.0
4,fg,short,2,4.84,2.42
4,goaline,short,2,4.04,2.02
4,midfield,long,1,-0.08,-0.08
4,midfield,medium,3,0.52,0.17333333333333334
4,midfield,really_long,1,0.16,0.16
4,midfield,short,4,0.2,0.05
4,touchback,short,1,0.0,0.0
