player_name,player_id,fantasy_points_count,fdvoa,fdvoa_std
Aaron Rodgers,00-0023459,718,0.0870962017354,11.0726875439
Alex Smith,00-0023436,569,-0.0140222568366,8.97563434008
Andrew Luck,00-0029668,655,0.0577813610977,9.24055331603
Andy Dalton,00-0027973,652,0.0103910806779,8.64203788366
Ben Roethlisberger,00-0022924,543,0.052225399046,10.746063153
Blaine Gabbert,00-0027948,211,-0.00651029226066,4.81054715029
Blake Bortles,00-0031407,724,-0.00733248987155,12.1803615925
Brett Hundley,00-0031589,13,-0.443876967769,1.43650037673
Brian Hoyer,00-0026625,213,-0.0120112700329,4.64588651237
Brock Osweiler,00-0029682,569,-0.0932178239402,7.8987696175
Bryce Petty,00-0031568,152,-0.135557401237,5.03931641315
Cam Newton,00-0027939,638,0.00846225411912,8.91698987672
Cardale Jones,00-0033098,13,-0.212520520231,0.220907219819
Carson Palmer,00-0021429,656,-0.0352936065229,8.87922825731
Carson Wentz,00-0032950,692,-0.0825613668699,7.85776450764
Case Keenum,00-0028986,368,-0.0685120496793,7.45882599887
Chad Henne,00-0026197,1,-0.483290043,
Chase Daniel,00-0026544,1,0.159821429,
Cody Kessler,00-0033104,231,-0.0342436421472,5.93202694875
Connor Cook,00-0032893,23,-0.031635157,1.81526367806
Dak Prescott,00-0033077,544,0.118372020173,9.79991282899
Derek Anderson,00-0023645,54,-0.122089968926,3.03821188007
Derek Carr,00-0031280,617,-0.00147849775851,8.7607105394
Drew Brees,00-0020531,731,0.0138132401601,9.17493933284
Drew Stanton,00-0025430,52,-0.122346553692,3.19928489063
EJ Manuel,00-0030526,37,-0.206857741108,1.58048515755
Eli Manning,00-0022803,641,-0.0330744507551,10.9520493978
Geno Smith,00-0030565,19,0.156843449368,0.54234060614
Jacoby Brissett,00-0033119,77,-0.0180049797792,1.31984250739
Jameis Winston,00-0031503,662,0.00263801104683,10.1344597351
Jared Goff,00-0033106,240,-0.133245081275,5.81527013427
Jay Cutler,00-0024226,159,-0.0486576677421,4.8412892317
Jimmy Garoppolo,00-0031345,78,0.106065430115,4.83061118735
Joe Flacco,00-0026158,733,-0.059199577839,10.1788666529
Joe Webb,00-0027796,8,-0.025616238625,0.0
Josh McCown,00-0021206,192,-0.104806022969,5.67442294914
Kellen Clemens,00-0024264,4,-0.29478344875,
Kevin Hogan,00-0032784,38,0.123756370974,7.7676924013
Kirk Cousins,00-0029604,666,0.0465326770856,10.104162098
Landry Jones,00-0030524,96,0.024321518625,6.39255611456
Marcus Mariota,00-0032268,538,0.0959271045948,8.5080885712
Mark Sanchez,00-0026898,25,-0.43248952408,1.58483437579
Matt Cassel,00-0023662,61,-0.180101361557,4.68390435384
Matt Moore,00-0025708,89,0.225093884404,4.04528993965
Matt Ryan,00-0026143,606,0.135775641998,9.27052080372
Matt Schaub,00-0022787,5,-0.197501849,0.45254834
Matthew Stafford,00-0026498,671,0.00213344101192,9.44106452993
Mike Glennon,00-0030520,11,0.079542443,0.197315314
Nick Foles,00-0029567,63,-0.0163783293016,5.36499012525
Paxton Lynch,00-0033108,103,-0.0906847570777,1.78351534437
Philip Rivers,00-0022942,630,0.00273272768413,8.32150953605
Russell Wilson,00-0029263,661,0.016339320528,9.03729696752
Ryan Fitzpatrick,00-0023682,460,-0.115357260346,6.52256973387
Ryan Mallett,00-0028012,11,-0.482905171091,1.20138808649
Ryan Tannehill,00-0029701,458,0.0437204488755,10.6874704408
Sam Bradford,00-0027854,618,-0.0423402108058,7.36870704192
Scott Tolzien,00-0028595,46,-0.27443242013,1.32335072514
Sean Mannion,00-0032245,7,-0.498678496714,
Tom Brady,00-0019596,475,0.111237711044,9.28150199441
Tom Savage,00-0031064,84,-0.18256267381,1.67637979774
Trevor Siemian,00-0032156,545,-0.048378831345,8.22888419478
Tyrod Taylor,00-0028118,581,0.0517237054768,11.6641923043
